reason for stop,BIPOC,white,Hispanic or Latino,Black or African American,Asian,Multiracial,Middle Eastern or South Asian,Pacific Islander,Native American,male,female,unidentified gender,gender nonconforming,lgbt,not lgbt,less than 10 years,aged 10-20,aged 21-30,aged 31-40,aged 41-50,aged 51-60,aged 61-70,aged 71-80,aged 81-90,aged 91-100,more than 100 years,full english fluency,limited english fluency,disabled,not disabled,mental health condition,speech impairment,multiple disability,deafness,development disability,blind,hyperactivity,other disability,traffic violation,reasonable suspicion,knowledge of outstanding arrest warrant or wanted person,consensual encounter resulting in search,parole/probation/PRCS/mandatory supervision,investigtion to determine whether person was truant,possible conduct under education code,unidentified reason for stop,determine whether student violated school policy,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,handcuffed,not handcuffed,drugs found,drugs not found,consensual_encounter_resulting_in_search_proportion,investigtion_to_determine_whether_person_was_truant_proportion,knowledge_of_outstanding_arrest_warrant_or_wanted person_proportion,parole_probation_PRCS_mandatory_supervision_proportion,possible_conduct_under_education_code_proportion,reasonable_suspicion_proportion,traffic_violation_proportion,unidentified_reason_for_stop_proportion,determine_whether_student_violated_school_policy_proportion,male_proportion,female_proportion,unidentified_gender_proportion,gender_nonconforming_proportion,BIPOC_proportion,white_proportion,hispanic_or_latino_proportion,black_or_african_american_proportion,asian_proportion,multiracial_proportion,middle_eastern_or_south_asian_proportion,pacific_islander_proportion,native_american_proportion,lgbt_proportion,not_lgbt_proportion,less_than_10_years_proportion,aged_10-20_proportion,aged_21-30_proportion,aged_31-40_proportion,aged_41-50_proportion,aged_51-60_proportion,aged_61-70_proportion,aged_71-80_proportion,aged_81-90_proportion,aged_91-100_proportion,more_than_100_years_proportion,full_english_fluency_proportion,limited_english_fluency_proportion,disabled_proportion,not_disabled_proportion,mental_health_condition_proportion,speech_impairment_proportion,multiple_disability_proportion,deafness_proportion,development_disability_proportion,blind_proportion,hyperactivity_proportion,other_disability_proportion,jan_2019_proportion,feb_2019_proportion,mar_2019_proportion,apr_2019_proportion,may_2019_proportion,jun_2019_proportion,jul_2019_proportion,aug_2019_proportion,sep_2019_proportion,oct_2019_proportion,nov_2019_proportion,dec_2019_proportion,handcuffed_proportion,not_handcuffed_proportion,drugs_found_proportion,drugs_not_found_proportion
Consensual Encounter Resulting in Search,136,30,39,87,5,1,2,2,0,123,43,0,0,3,163,0,35,62,32,28,7,1,0,0,0,1,146,20,35,131,26,0,5,0,1,0,0,3,0,0,0,166,0,0,0,0,0,7,26,17,18,17,21,13,16,7,9,8,7,56,110,22,144,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.09638554216868,25.903614457831324,0.0,0.0,81.92771084337349,18.072289156626507,23.49397590361446,52.40963855421686,3.0120481927710845,0.6024096385542169,1.2048192771084338,1.2048192771084338,0.0,1.8072289156626504,98.19277108433735,0.0,21.084337349397593,37.34939759036144,19.27710843373494,16.867469879518072,4.216867469879518,0.6024096385542169,0.0,0.0,0.0,0.6024096385542169,87.95180722891565,12.048192771084338,21.084337349397593,78.91566265060241,15.66265060240964,0.0,3.0120481927710845,0.0,0.6024096385542169,0.0,0.0,1.8072289156626504,4.216867469879518,15.66265060240964,10.240963855421686,10.843373493975903,10.240963855421686,12.650602409638553,7.83132530120482,9.63855421686747,4.216867469879518,5.421686746987952,4.819277108433735,4.216867469879518,33.734939759036145,66.26506024096386,13.253012048192772,86.74698795180723
Investigtion to Determine whether Person was Truant,29,3,11,16,2,0,0,0,0,22,10,0,0,0,32,1,16,6,5,2,2,0,0,0,0,0,31,1,5,27,4,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,1,2,4,4,3,6,0,4,3,2,2,7,25,1,31,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,31.25,0.0,0.0,90.625,9.375,34.375,50.0,6.25,0.0,0.0,0.0,0.0,0.0,100.0,3.125,50.0,18.75,15.625,6.25,6.25,0.0,0.0,0.0,0.0,0.0,96.875,3.125,15.625,84.375,12.5,0.0,3.125,0.0,0.0,0.0,0.0,0.0,3.125,3.125,6.25,12.5,12.5,9.375,18.75,0.0,12.5,9.375,6.25,6.25,21.875,78.125,3.125,96.875
Knowledge of Outstanding Arrest Warrant or Wanted Person,936,66,198,659,38,13,11,12,5,822,179,1,0,5,997,9,205,399,202,114,59,13,1,0,0,0,947,55,35,967,17,8,0,2,0,3,0,5,0,0,1002,0,0,0,0,0,0,79,70,91,73,113,77,103,95,91,81,59,70,838,164,104,898,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,82.03592814371258,17.864271457085827,0.09980039920159679,0.0,93.41317365269461,6.58682634730539,19.760479041916167,65.76846307385229,3.792415169660679,1.2974051896207583,1.097804391217565,1.1976047904191618,0.499001996007984,0.499001996007984,99.50099800399201,0.8982035928143712,20.459081836327346,39.82035928143712,20.159680638722556,11.377245508982035,5.888223552894212,1.2974051896207583,0.09980039920159679,0.0,0.0,0.0,94.51097804391217,5.489021956087824,3.493013972055888,96.50698602794411,1.6966067864271457,0.7984031936127743,0.0,0.19960079840319359,0.0,0.29940119760479045,0.0,0.499001996007984,7.884231536926148,6.986027944111776,9.081836327345309,7.285429141716566,11.27744510978044,7.684630738522954,10.27944111776447,9.481037924151696,9.081836327345309,8.08383233532934,5.888223552894212,6.986027944111776,83.63273453093812,16.367265469061877,10.379241516966067,89.62075848303394
Parole/Probation/PRCS/Mandatory Supervision,222,13,46,154,14,5,3,0,0,216,19,0,0,0,235,0,43,92,48,30,11,7,3,1,0,0,226,9,10,225,2,1,3,0,0,1,0,3,0,0,0,0,235,0,0,0,0,16,24,36,20,29,31,30,19,10,5,8,7,154,81,40,195,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,91.91489361702128,8.085106382978724,0.0,0.0,94.46808510638299,5.531914893617021,19.574468085106382,65.53191489361701,5.957446808510639,2.127659574468085,1.276595744680851,0.0,0.0,0.0,100.0,0.0,18.29787234042553,39.148936170212764,20.425531914893615,12.76595744680851,4.680851063829787,2.9787234042553195,1.276595744680851,0.425531914893617,0.0,0.0,96.17021276595744,3.829787234042553,4.25531914893617,95.74468085106383,0.851063829787234,0.425531914893617,1.276595744680851,0.0,0.0,0.425531914893617,0.0,1.276595744680851,6.808510638297872,10.212765957446807,15.319148936170212,8.51063829787234,12.340425531914894,13.191489361702127,12.76595744680851,8.085106382978724,4.25531914893617,2.127659574468085,3.404255319148936,2.9787234042553195,65.53191489361701,34.46808510638298,17.02127659574468,82.97872340425532
Possible Conduct Under Education Code,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0
Reasonable Suspicion,11661,1917,3126,7599,471,106,231,108,20,9471,4083,9,15,141,13437,32,2503,4904,3059,1902,827,177,80,20,2,72,12469,1109,2533,11045,2076,114,176,15,43,20,0,89,0,13578,0,0,0,0,0,0,0,1167,1080,1108,1216,1155,1096,1335,1243,1123,1020,1034,1001,7789,5789,723,12855,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,69.75254087494477,30.07070260715864,0.06628369421122404,0.11047282368537341,85.88157313300928,14.118426866990722,23.022536456031816,55.96553247901016,3.4688466637207247,0.780674620709972,1.7012814847547502,0.7954043305346884,0.14729709824716453,1.03844454264251,98.96155545735749,0.23567535719546326,18.434231845632638,36.117248490204744,22.529091176903815,14.007954043305345,6.090735012520254,1.3035793194874061,0.5891883929886581,0.14729709824716453,0.014729709824716454,0.5302695536897923,91.83237590219473,8.167624097805273,18.65517749300339,81.34482250699662,15.289438798055679,0.8395934600088379,1.296214464575048,0.11047282368537341,0.3166887612314037,0.14729709824716453,0.0,0.6554720871998821,8.594785682722051,7.954043305346885,8.160259242892915,8.955663573427604,8.506407423773751,8.071880983944617,9.832081307998232,9.154514656061275,8.270732066578288,7.512152010605392,7.615259979378407,7.372219767270585,57.36485491235823,42.635145087641774,5.324790101634997,94.675209898365
Traffic Violation,8126,1236,2607,4330,642,158,330,55,4,6625,2729,3,5,23,9339,11,1855,3850,2026,1123,369,68,27,0,0,33,8753,609,56,9306,7,26,0,6,2,2,0,13,9362,0,0,0,0,0,0,0,0,709,734,881,866,814,1018,1082,967,633,578,613,467,767,8595,539,8823,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,70.76479384746848,29.149754325998718,0.03204443494979705,0.05340739158299509,86.7976928006836,13.202307199316385,27.84661397137364,46.250801110873745,6.857509079256569,1.6876735740226447,3.5248878444776754,0.587481307412946,0.04272591326639607,0.2456740012817774,99.75432599871822,0.1174962614825892,19.81414227729118,41.12369151890622,21.64067506942961,11.995300149540697,3.9414654988250373,0.7263405255287332,0.2883999145481735,0.0,0.0,0.35248878444776754,93.4949797051912,6.505020294808801,0.598162785729545,99.40183721427044,0.07477034821619312,0.27771843623157444,0.0,0.0640888698995941,0.021362956633198035,0.021362956633198035,0.0,0.13885921811578722,7.573168126468703,7.84020508438368,9.410382396923735,9.250160222174749,8.6947233497116,10.8737449262978,11.557359538560137,10.328989532151251,6.761375774407178,6.173894466994232,6.547746208075197,4.9882503738517405,8.192693868831446,91.80730613116856,5.75731681264687,94.24268318735312
Unidentified Reason for Stop,16,3,3,11,1,0,1,0,0,15,4,0,0,0,19,0,5,5,4,5,0,0,0,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,3,2,2,2,1,2,0,1,1,2,3,16,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,78.94736842105263,21.052631578947366,0.0,0.0,84.21052631578947,15.789473684210526,15.789473684210526,57.89473684210527,5.263157894736842,0.0,5.263157894736842,0.0,0.0,0.0,100.0,0.0,26.31578947368421,26.31578947368421,21.052631578947366,26.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789473684210526,15.789473684210526,10.526315789473683,10.526315789473683,10.526315789473683,5.263157894736842,10.526315789473683,0.0,5.263157894736842,5.263157894736842,10.526315789473683,15.789473684210526,84.21052631578947,0.0,100.0
